description,unit,rate
1 : 3 : 6 - 20 mm stone agg. with coarse sand. (RCA),One Cubic Metre,8364.0
1 : 3 : 6 - 20 mm stone agg. with coarse sand. (RCA),One Cubic Metre,7657.0
1:5:10 (1 cement : 5 coarse sand : 10 graded stone aggregate 40 mm nominal size).,One Cubic Metre,8519.0
1:5:10 (1 cement : 5 coarse sand : 10 graded stone aggregate 40 mm nominal size). RCA,One Cubic Metre,6912.0
"Foundation, footing etc",One Square Metre,392.0
walls etc,One Square Metre,843.0
Columns etc,One Square Metre,961.0
"1:1½:3 coarse sand, 20 mm stone agg.",One Cubic Metre,8341.0
1:1½:3 aggregates derived from RCA,One Cubic Metre,8128.0
1 : 1.5 : 3 - 20 mm stone agg. with coarse sand.,One Cubic Metre,10105.0
1 : 1.5 : 3 - 20 mm stone agg. with coarse sand. (aggregates from RCA),One Cubic Metre,9893.0
P/L C.C. 1:1½:3 in kerb at ground level .,One Cubic Metre,8727.0
P/L C.C. 1:1½:3 in kerb at ground level . - Aggregates derived from RCA,One Cubic Metre,8515.0
1:1½:3 - 20 mm stone agg. with coarse sand.,One Cubic Metre,17889.0
1:1½:3 - 20 mm stone agg. with coarse sand. Aggregates derived from RCA.,One Cubic Metre,17677.0
1:1½:3 - 20 mm stone agg. with coarse sand.,One Cubic Metre,14624.0
1:1½:3 - 20 mm stone agg. with coarse sand. (aggregates derived from RCA),One Cubic Metre,14526.0
"Precasting and Placing 125 mm dia. Bollards 600 mm high i/c providing MS Pipe Sleeve 50 mm ,300mm long in the Bollard and MS pipe 40 mm, 450mm long with 150x150 x 6 mm MS plate welded at bottom.",Each,930.0
Precasting and placing in position 125 mm dia Bollards 600 mm high - M.S. Pipe Sleeve 50 mm dia 300 mm long embedded 150mm in CC 1:3:6 aggregates derived from RCA,Each,900.0
Precasting and placing in position 125 mm dia Bollards 600 mm high - M.S. Pipe Sleeve 50 mm dia 300 mm long in the Bollard embedded in CC 1:3:6 materials derived from RCA.,Each,879.0
P/L DPC 40 mm CC 1:2:4,One Square Metre,411.0
P/F DPC 50 mm CC 1:2:4,One Square Metre,496.0
P/F DPC 50 mm CC 1:2:4 aggregates from RCA.,One Square Metre,485.0
Extra for water proofing material in CC work,per bag of 50 kg cement used,18.0
Applying a coat of residual bitumen 80/100 on DPC,One Square Metre,146.0
Extra for concrete work in SS above floor V,One Cubic Metre,169.0
Extra for laying concrete in or under water and/or liquid mud,cum per metre depth,1099.0
Extra for CC in or under foul position,One Cubic Metre,468.0
Making plinth protection 50 mm thick of CC 1: 3: 6 over 75 mm bed of dry brick ballast 40 mm nominal size.,One Square Metre,749.0
Making plinth protection 50 mm thick of CC 1: 3: 6 over 75 mm bed of dry brick ballast 40 mm nominal size. (aggregates from RCA),One Square Metre,702.0
Making plinth protection 50 mm thick of CC 1: 3: 6 over 75 mm bed of dry brick ballast 40 mm nominal size. (aggregates from RCA),One Square Metre,667.0
"Extra for addition of synthetic polyester triangular fibre in cement concrete/ RCC/ Flooring /water retaining structures etc.,",Per Bag of 50Kg. of cement,70.0
M-15 grade plain cement concrete (cement content considered @ 240 kg/cum).,One Cubic Metre,8835.0
M-10 grade plain cement concrete (cement content considered @ 220 kg/cum).,One Cubic Metre,8986.0
Concrete of M20 grade with minimum cement content of 270 kg /cum,One Cubic Metre,9213.0
Concrete of M25 grade with minimum cementcontent of 300 kg /cum,One Cubic Metre,9439.0
M-15 grade plain cement concrete. (cement content considered @ 240 kg. /cum).,One Cubic Metre,9191.0
M-10 grade plain cement concrete (cement content considered @ 220 kg/cum).,One Cubic Metre,9342.0
Concrete of M20 grade with minimum cementcontent of 270 kg /cum,One Cubic Metre,9568.0
Concrete of M25 grade with minimum cementcontent of 300 kg /cum,One Cubic Metre,9795.0
Concrete of M25 grade with minimum cementcontent of 300 kg /cum.,One Cubic Metre,9588.0
1 : 1.5 : 3 - using 20 mm stone aggregate and coarse sand.,One Cubic Metre,9046.0
1 : 1.5 : 3 - using 20 mm stone aggregate and coarse sand. (aggregate from RCA up to 20%),One Cubic Metre,8875.0
1 : 2 : 4 - 20 mm stone aggregate from natural resources and coarse sand.,One Cubic Metre,8583.0
1 : 2 : 4 - 20 mm stone aggregate from Recycled Concrete Aggregate and coarse sand.,One Cubic Metre,8404.0
1 : 1.5: 3 - 20 mm stone aggregate from natural resources with coarse sand.,One Cubic Metre,10853.0
1 : 1.5 : 3 - 20 mm stone aggregate from RCA upto 20% and coarse sand manufactured sand derived from RCA upto 20%,One Cubic Metre,10682.0
"RCC in beams, suspended floors roofs, etc with 1 : 1.5 : 3 upto floor 5 level",One Cubic Metre,11506.0
"RCC in beams, suspended floors roofs, etc with 1 : 1.5 : 3 upto floor 5 level (20 mm stone aggregate from RCA upto 20% and coarse sand manufactured sand derived from RCA upto 20%)",One Cubic Metre,11335.0
"P/L RCC in kerbs, steps and the like upto floor five level with 1:1.5:3 (Aggregate from natural resources)",One Cubic Metre,8822.0
"P/L RCC in kerbs, steps and the like upto floor five level with 1:1.5:3 (Aggregates from RCA upto 20%)",One Cubic Metre,8651.0
"P/L RCC in arches, archribs, domes, vaults etc., upto floor five level with 1:1.5:3 (Aggregates from natural resources)",One Cubic Metre,12206.0
"P/L RCC in arches, archribs, domes, vaults etc., upto floor five level with 1:1.5:3 (Aggregates from RCA upto 20%)",One Cubic Metre,12035.0
"P/L RCC in chimneys, shafts upto floor five level with 1:1.5:3 (Aggregates from natural resources)",One Cubic Metre,11125.0
"P/L RCC in chimneys, shafts upto floor five level with 1:1.5:3 (Aggregates from RCA upto 20%)",One Cubic Metre,10954.0
P/L RCC in well-steining with 1:1.5:3 (Aggregates from natural resources),One Cubic Metre,8425.0
P/L RCC in well-steining with 1:1.5:3 (Aggregates from RCA upto 20% ),One Cubic Metre,8254.0
"RCC in fins, forming box with 1:1.5:3 upto floor 5 level (Aggregates from natural resources)",One Cubic Metre,11454.0
"RCC in fins, forming box with 1:1.5:3 upto floor 5 level (Aggregates from RCA upto 20% )",One Cubic Metre,11284.0
"Foundations, footings, bases of columns, etc. for mass concrete.",One Square Metre,392.0
"Walls, plinth and string courses etc",One Square Metre,843.0
"Suspended floor, roofs etc",One Square Metre,927.0
Shelves (Cast in situ),One Square Metre,927.0
"Lintels, beams etc",One Square Metre,736.0
Columns etc,One Square Metre,961.0
Stair (excluding landing).,One Square Metre,765.0
Spiral staircases,One Square Metre,798.0
"Arches, domes etc",One Square Metre,2154.0
"Extra for arches, domes etc exceeding 6 metre span",One Square Metre,608.0
Chimneys and shafts.,One Square Metre,803.0
Well steining.,One Square Metre,264.0
Vertical and horizental fins.,One Square Metre,1297.0
Small lintels 1.5 m span coping etc,One Square Metre,392.0
Under 20 cm wide,One Running Metre,209.0
Above 20 cm wide,One Square Metre,879.0
Cornices and mouldings,One Square Metre,857.0
"Small surfaces such as canti- lever ends, brackets etc",One Square Metre,965.0
Weather shade etc,One Square Metre,951.0
suspended floors etc with 12 mm water proof ply,One Square Metre,1028.0
"lintel, beams etc with 12 mm water proof ply",One Square Metre,842.0
12 mm dia. & 100 mm length,Each Set,156.0
12 mm dia & 150 mm length,Each Set,170.0
20 mm dia & 150 mm length.,Each Set,185.0
20 mm dia & 225 mm length.,Each Set,202.0
Suspended floor etc,One Square Metre,384.0
"Providing, hoisting and fixing upto floor 5 level precast RCC work in string courses, bands etc with 1:1.5:3 (Aggregates from natural resources)",One Cubic Metre,10586.0
"Providing, hoisting and fixing upto floor 5 level precast RCC work in string courses, bands etc with 1:1.5:3 (Aggregates from RCA upto 20%)",One Cubic Metre,10417.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in small lintels upto 1.5m clear span with 1:1.5:3 (Aggregates from natural resources)",One Cubic Metre,14326.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in small lintels upto 1.5m clear span with 1:1.5:3 (Aggregates from RCA up to 20%)",One Cubic Metre,14155.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in mouldings with 1:1.5:3 (Aggregate derived from natural resources).",One Cubic Metre,18235.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in mouldings with 1:1.5:3 (Aggregate derived from RCA up to 20%).",One Cubic Metre,18064.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in lintels etc with 1:1.5:3 (aggregates from natural resources)",One Cubic Metre,13899.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in lintels etc with 1:1.5:3 (aggregates from RCA)",One Cubic Metre,13728.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in shelves with 1:1.5:3",One Cubic Metre,20356.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in shelves with 1:1.5:3 (Aggregates from RCA up to 20%)",One Cubic Metre,20185.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in vertical and horizontal fins with 1:1.5:3",One Cubic Metre,12043.0
"Providing, hoisting and fixing upto floor 5 level precast RCC in vertical and horizontal fins with 1:1.5:3 (aggregate from RCA up to 20%)",One Cubic Metre,11873.0
50 mm thick.,One Square Metre,1887.0
40 mm thick.,One Square Metre,1707.0
25 mm thick.,One Square Metre,1539.0
"Encasing rolled steel sections in beams and columns, with CC 1:1.5:3",One Cubic Metre,16089.0
"Encasing rolled steel sections in beams and columns, with CC 1:1.5:3 (Aggregates from RCA up to 20%)",One Cubic Metre,15919.0
Encasing rolled steel section in grillages with CC 1:1.5:3 including centering and shuttering but excluding cost of expanded metal and hangers,One Cubic Metre,9663.0
Encasing rolled steel section in grillages with CC 1:1.5:3 (aggregates from RCA up to 20%) including centering and shuttering but excluding cost of expanded metal and hangers,One Cubic Metre,9492.0
"Extra for P/F expanded metal mesh for encasing of rolled steel sections in beams, columns etc",One Square Metre,485.0
Mild steel and medium tensile steel bars.,One Kilogram,107.0
Hard drawn steel wire.,One Kilogram,96.0
Cold twisted bars.,One Kilogram,108.0
Hot rolled deformed bars.,One Kilogram,108.0
Hard drawn steel wire fabric.,One Kilogram,102.0
Thermo-Mechanically Treated bars.,One Kilogram,108.0
Mild steel and medium tensile steel bars.,One Kilogram,107.0
Hard drawn steel wire.,One Kilogram,96.0
Cold twisted bars.,One Kilogram,108.0
Hot rolled deformed bars.,One Kilogram,108.0
Hard drawn steel wire fabric.,One Kilogram,102.0
Thermo-Mechanically Treated bars.,One Kilogram,108.0
Thermo-Mechanically Treated bars of grade Fe-500D or more.,One Kilogram,100.0
Thermo-Mechanically Treated bars of grade Fe-500D or more.,One Kilogram,100.0
Smooth finishing of exposed RCC surface with 6 mm CM 1:3.,One Square Metre,300.0
Extra for rendring smooth on top of suspended floors with CM 1 : 2,One Square Metre,151.0
P/F in position copper plate for expansion joints .,One Kilogram,812.0
P/F in position bitumen in expansion joints.,One Cubic Metre,74855.0
P/F in position bitumen mix filler for expansion joints.,One Cubic Metre,28213.0
P/F in position 12 mm thick bitumen fibre board in expansion joints.,per cm depth  per 100m,656.0
150 mm wide.,One Metre,245.0
200 mm wide.,One Metre,330.0
150 mm wide.,One Metre,568.0
200 mm wide.,One Metre,754.0
150 mm wide,One Metre,237.0
200 mm wide,One Metre,319.0
"RCC in beams, suspended floors roofs, etc with 1 : 2 : 4 upto floor 5 level",One Metre,78.0
Extra for laying RCC in or foul position,One Cubic Metre,468.0
Concrete of M25 grade with minimm cement content of 330 kg /cum,One Cubic Metre,9505.0
Concrete of M30 grade with minimm cement content of 350 kg /cum,One Cubic Metre,9656.0
Concrete of M35 grade with minimm cement content of 370 kg /cum,One Cubic Metre,9807.0
Concrete of M40 grade with minimm cement content of390 kg /cum,One Cubic Metre,9958.0
Concrete of M50 grade with minimm cement content of 410 kg /cum,One Cubic Metre,10109.0
Concrete of M25 grade with minimm cement content of 330 kg /cum,One Cubic Metre,9860.0
Concrete of M30 grade with minimm cement content of 350 kg /cum,One Cubic Metre,10011.0
Concrete of M35 grade with minimm cement content of 370 kg /cum,One Cubic Metre,10162.0
Concrete of M40 grade with minimm cement content of390 kg /cum,One Cubic Metre,10313.0
Concrete of M50 grade with minimm cement content of 410 kg /cum,One Cubic Metre,10464.0
Concrete of M25 grade with minimm cement content of 330 kg /cum,One Cubic Metre,9690.0
Add for using extra cement in design mix,One Quintal,734.0
P/P in position precast RCC waffle units for floors and roofs in 1:1.5:3,One Cubic Metre,33019.0
P/P in position precast RCC waffle units for floors and roofs in 1:1.5:3 (aggregates from RCA up to 20%),One Cubic Metre,32848.0
Extra for R.C.C./ B.M.C/ R.M.C. work above floor V level for each four floors or part thereof.,One Cubic Metre,356.0
Non pigmented wet curing compound,One Square Metre,69.0
Coupler for 16 mm dia. reinforcement bar,Each,115.0
Coupler for 20 mm dia. reinforcement bar,Each,160.0
Coupler for 25 mm dia. reinforcement bar,Each,229.0
Coupler for 28 mm dia. reinforcement bar,Each,268.0
Coupler for 32 mm dia. reinforcement bar,Each,319.0
200 mm wide.,One Metre,860.0
300 mm wide.,One Metre,1208.0
Floor Joint of 100 mm gap,One Metre,6393.0
Floor Joint of 150 mm gap,One Metre,7812.0
Floor Joint of 200 mm gap,One Metre,9904.0
Wall Joint of 100 mm gap,One Metre,5306.0
Wall Joint of 150 mm gap,One Metre,5981.0
Wall Joint of 200 mm gap,One Metre,6889.0
Roof Joint of 100 mm gap,One Metre,5986.0
Roof Joint of 150 mm gap,One Metre,6700.0
Roof Joint of 200 mm gap,One Metre,7928.0
Door frame 125 mmx 60 mm,One Metre,815.0
Door frame 100 mmx 60 mm,One Metre,757.0
Door frame 85 mmx60 mm,One Metre,727.0
Reinforced Cement Concrete -M-50,One Cubic Metre,8510.0
Reinforced Cement Concrete -M-60,One Cubic Metre,9500.0
Extra for using M -50/ M60 Grade Self-compacting Reinforced Cement Concrete,One Cubic Metre,665.0
In CM 1:4,One Cubic Metre,7371.0
In CM 1:6,One Cubic Metre,7132.0
In CM 1:4,One Cubic Metre,6505.0
In CM 1:6,One Cubic Metre,6295.0
With F.P.S.(non modular) bricks.,One Cubic Metre,9300.0
With Modular bricks.,One Cubic Metre,8942.0
Cement mortar 1:6 (1 cement : 6 coarse sand),One Cubic Metre,9344.0
Cement mortar 1:6 (1 cement : 6 coarse sand),One Cubic Metre,9106.0
Extra for BW in SS above floor 5 level,One Cubic Metre,169.0
Extra for forming cavity 5 cm to 7.5 cm wide in cavity walls,One Square Metre,234.0
Providing half brick masonry with bricks of class 75 in CM 1:3 in s/s for closing cavity,One  Metre,301.0
B/W 7 cm thick in CM 1:3 in SS,One Square Metre,866.0
B/W in plain arches in s/s for span upto 6 m with bricks in CM 1:3,One Cubic Metre,15078.0
B/W in gauged arches in s/s in CM 1:3 for span upto 6 m with bricks class 75,One Cubic Metre,19066.0
Extra for additional cost of centring for arches exceeding 6 m,One Square Metre,608.0
in CM 1:3,One Square Metre,932.0
in CM 1:4,One Square Metre,905.0
CM 1:3,One Square Metre,1151.0
CM 1:4,One Square Metre,1124.0
Extra for H/B work in SS above floor 5 level,One Square Metre,15.0
Extra for hoop iron 2 nos 6mm dia bar every third course of half brick masonry,One Square Metre,105.0
CM 1:4,One Cubic Metre,11213.0
CM 1:6,One Cubic Metre,10831.0
Tile brick masonry with machine moulded tile bricks designation 125 in found & plinth in CM 1:6,One Cubic Metre,11329.0
Tile brick masonry with machine moulded tile bricks designation 125 in S/S upto floor 5 level in CM 1:6,One Cubic Metre,12883.0
Tile brick masonry with tile bricks of class 100 in plain arch work in SS in CM 1:4,One Cubic Metre,18975.0
Tile brick masonry with tile bricks of class 100 in gauged arch work in SS CM 1:4,One Cubic Metre,23020.0
Tile brick masonry work 5 cm thick with tile brick of class 100 in CM 1:3 in SS,One Square Metre,885.0
Honey-comb B/W 10/11.2 cm with in CM 1:4,One Square Metre,712.0
Extra for BW in or under foul position.,One Cubic Metre,468.0
From ground level upto plinth level.,One Cubic Metre,7361.0
Above plinth level upto floor V level.,One Cubic Metre,9440.0
From ground level upto plinth level.,One Cubic Metre,6339.0
Above plinth level upto floor V level.,One Cubic Metre,8313.0
From ground level upto plinth level.,One Cubic Metre,6997.0
Above plinth level upto floor V level.,One Cubic Metre,8971.0
From ground level upto plinth level.,One Cubic Metre,7581.0
Above plinth level upto floor V level.,One Cubic Metre,9482.0
From ground level upto plinth level.,One Cubic Metre,7370.0
Above plinth level upto floor V level.,One Cubic Metre,9344.0
From ground level upto plinth level.,One Cubic Metre,7032.0
Above plinth level upto floor V level.,One Cubic Metre,9006.0
CM 1:4,One Cubic Metre,9333.0
CM 1:6,One Cubic Metre,9095.0
CM 1:4,One Cubic Metre,8962.0
CM 1:6,One Cubic Metre,8753.0
CM 1:4,One Cubic Metre,9794.0
CM 1:6,One Cubic Metre,9584.0
CM 1:4,One Cubic Metre,7198.0
B/W with modular extruded burnt fly ash clay sewer in arches in found and plinth in CM 1:3,One Cubic Metre,13427.0
P/L AAC blocks masonry with 100 mm AAC blocks in S/S above PL upto floor 5 level in CM 1:4,One Cubic Metre,10195.0
P/L Gypsum panel partitions 100 mm thick with water proof in SS above PL upto floor 5 level,One Square Metre,1024.0
Extra for Gypsum panel partitions in SS above floor 5 level,One Square Metre,181.0
Brick edging 7cm wide 11.4cm deep to plinth protection,One  Metre,59.0
Cement mortar 1 : 3 (1 cement : 3 coarse sand),One Square Metre,1133.0
Cement mortar 1 : 4 (1 cement : 4 coarse sand),One Square Metre,1106.0
Providing and laying autoclaved aerated cement blocks masonry,One Cubic Metre,8334.0
in CM 1:6,One Cubic Metre,7311.0
Cement mortar 1:6 (1 cement : 6 coarse sand).,One Cubic Metre,9275.0
Square or rectangular pillars,One Cubic Metre,956.0
Circular pillars,One Cubic Metre,2531.0
Extra for RR masonry with hard stone curved on plan for a mean radius not exceeding 6 m,One Cubic Metre,1046.0
CM 1:6,One Cubic Metre,8812.0
in CM 1:6,One Cubic Metre,8199.0
"Masonry work (first sort) , in cement mortar 1:6 (1 cement : 6 coarse sand)",One Cubic Metre,10742.0
Square or rectangular pillars,One Cubic Metre,1061.0
Circular pillars,One Cubic Metre,2874.0
Extra for CR masonry with hard stone curved on plan for mean radius not exceeding 6 m,One Cubic Metre,1134.0
Red sand stone,One Cubic Metre,68294.0
White sand stone,One Cubic Metre,82518.0
Red sand stone,One Cubic Metre,91295.0
White sand stone,One Cubic Metre,105519.0
Red sand stone,One Cubic Metre,75263.0
White sand stone,One Cubic Metre,89487.0
Red sand stone,One Cubic Metre,98265.0
White sand stone,One Cubic Metre,112488.0
Red sand stone,One Cubic Metre,114277.0
White sand stone,One Cubic Metre,128500.0
Red sand stone,One Cubic Metre,169953.0
White sand stone,One Cubic Metre,184177.0
Red sand stone.,One Cubic Metre,64926.0
White sand stone.,One Cubic Metre,79150.0
Red sand stone.,One Cubic Metre,84560.0
White sand stone.,One Cubic Metre,98784.0
"Extra for stone work, plain ashlar or ashlar punched above floor V level for every four floors or part thereof.",One Cubic Metre,169.0
Square or rectangular pillars.,One Cubic Metre,2896.0
Extra for stone work; plain ashlar/ashlar punched curved on plan with a mean radius not exceeding 6 metre.,One Cubic Metre,2014.0
Extra for additional cost of centring for arches exceeding 6 m span.,One Square Metre,608.0
Red sand stone.,One Cubic Metre,94463.0
White sand stone.,One Cubic Metre,108686.0
Triangular or Square or rectangular pillars.,One Cubic Metre,3779.0
Circular or polygonal pillars.,One Cubic Metre,10706.0
Extra for stone work sunk or moulded in cornices.,per metre per cm girth,304.0
Extra for stone work (veneer work) curved on plan with a mean radius not exceeding 6 m.,One Cubic Metre,2896.0
P/F stone dowels 10 x 5 x 2.50 Cm cut to double wedge shape as per design.,Each,55.0
With F.P.S. Bricks.,One Square Metre,2854.0
With F.P.S. bricks.,One Square Metre,2933.0
Red sand stone.,One Square Metre,1833.0
White sand stone.,One Square Metre,1902.0
"30 mm red sand stone sun-shade (chisel-dressed) supported on stone brackets, fixed in walls with CM 1 : 4 CS.",One Square Metre,2160.0
"P/F red sand stone brackets 55x22.5x45 cm sunk & moulded i/c P/F with 4 No. gun metal cramps 25 x 6 mm, 30 cm long.",Each,6789.0
Red sand stone.,One Cubic Metre,93741.0
White sand stone.,One Cubic Metre,107965.0
Red sand stone.,One Square Metre,14932.0
White sand stone.,One Square Metre,14994.0
Extra for laying stone work in or under water and/or liquid mud i/c pumping/bailing out water and removing slush.,cum/ mtr depth,1099.0
Extra for stone work in or uder foul position .,One Cubic Metre,468.0
Granite stone of any colours.,One Square Metre,3095.0
Raj Nagar/Udaipur/ Zebra stone.,One Square Metre,2766.0
Area upto 0.50 Sqm,One Square Metre,5743.0
Area of slab above 0.50 Sqm,One Square Metre,5938.0
Area upto 0.50 Sqm,One Square Metre,3415.0
Area of slab above 0.50 Sqm,One Square Metre,3078.0
Area upto 0.50 Sqm,One Square Metre,5414.0
Area of slab above 0.50 Sqm,One Square Metre,5136.0
Area upto 0.50 Sqm,One Square Metre,4171.0
Area of slab above 0.50 Sqm,One Square Metre,3849.0
Marble work,One Metre,299.0
Granite work,One Metre,511.0
Extra for fixing marble/ granite stone in facia and drops of width upto 150mm with expoxy resin based,One Metre,569.0
"Extra for providing opening wash basins/kitchen etc., sink in marble/ granite/ stone work.",Each,979.0
Mirror polishing on marble / granite work to give high gloss finish complete.,One Square Metre,507.0
